Altium Designer Pick and Place Locations
C:\Users\Kleber\Documents\AltiumDesigner\On-Board Central Processor\On-Board Central Processor\Project Outputs for On-Board Central Processor\Pick Place\Pick Place for On-Board Central Processor PCB V1.0(Full).csv

========================================================================================================================
File Design Information:

Date:       11/01/23
Time:       15:14
Revision:   Not in VersionControl
Variant:    Full
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Rotation","Description"
"TP2","GND","TopLayer","TP_LOOP","71.0000","2.0000","71.0000","2.0000","71.0000","2.0000","0","TEST POINT LOOP"
"TP1","VIN","TopLayer","TP_LOOP","71.0000","16.0000","71.0000","16.0000","71.0000","16.0000","0","TEST POINT LOOP"
"TP3","TEST_OUT","TopLayer","TP_LOOP","4.5000","23.5000","4.5000","23.5000","4.5000","23.5000","0","TEST POINT LOOP"
"Y1","16MHz","TopLayer","CRYSTAL2016","9.5500","57.4500","9.5500","57.4500","9.0250","58.1250","270","CRYSTAL 16.0000MHZ 10PPM 9PF SMD"
"X1","Mini-Fit 2x8 (Housings)","TopLayer","39-01-2160","0.0000","0.0000","45.0000","8.9000","0.0000","0.0000","180","CONN RCPT HSG 16POS 4.20MM"
"U5","PCA9557PW,118","TopLayer","TSSOP16","4.5000","17.0000","4.5000","17.0000","6.7750","19.8750","270","IC I/O EXPANDER I2C 16TSSOP"
"U17","TP1001S3","TopLayer","SOT-23-3","38.5000","26.5000","38.5000","26.5000","37.5500","25.4000","0","IC CURRENT-SENSING SOT-23-3"
"U16","DRV8870","TopLayer","HSOP8","31.8000","30.5000","31.8000","30.5000","33.7050","33.3700","270","IC DRIVER DC MOTOR 3.6A 8SOIC"
"U15","PC817C","TopLayer","OC_SMD4","32.5000","55.0000","32.5000","55.0000","31.2300","50.5000","90","IC OPTOCOUPLER TRANSISTOR 4-SMD"
"U14","PC817C","TopLayer","OC_SMD4","50.5000","55.0000","50.5000","55.0000","51.7700","59.5000","270","IC OPTOCOUPLER TRANSISTOR 4-SMD"
